date,return
2024-01-01,0.0042
2024-01-02,-0.0011
2024-01-03,0.0068
2024-01-04,0.0025
2024-01-05,-0.0033
2024-01-06,0.0051
2024-01-07,0.0019
2024-01-08,-0.0007
2024-01-09,0.0044
2024-01-10,0.0030
2024-01-11,-0.0024
2024-01-12,0.0061
2024-01-13,0.0012
2024-01-14,0.0038
2024-01-15,-0.0018
2024-01-16,0.0055
2024-01-17,0.0023
2024-01-18,-0.0009
2024-01-19,0.0047
2024-01-20,0.0034
2024-01-21,-0.0021
2024-01-22,0.0059
2024-01-23,0.0016
2024-01-24,0.0041
2024-01-25,-0.0014
2024-01-26,0.0052
2024-01-27,0.0027
2024-01-28,-0.0005
2024-01-29,0.0049
2024-01-30,0.0036
2024-01-31,-0.0019
2024-02-01,0.0057
2024-02-02,0.0021
2024-02-03,0.0043
2024-02-04,-0.0012
2024-02-05,0.0050
2024-02-06,0.0029
2024-02-07,-0.0003
2024-02-08,0.0046
2024-02-09,0.0033
2024-02-10,-0.0017
2024-02-11,0.0058
2024-02-12,0.0018
2024-02-13,0.0040
2024-02-14,-0.0010
2024-02-15,0.0053
2024-02-16,0.0026
2024-02-17,-0.0006
2024-02-18,0.0045
2024-02-19,0.0031
2024-02-20,-0.0022
2024-02-21,0.0060
2024-02-22,0.0014
2024-02-23,0.0039
2024-02-24,-0.0015
2024-02-25,0.0054
2024-02-26,0.0028
2024-02-27,-0.0004
2024-02-28,0.0048
2024-02-29,0.0035
2024-03-01,-0.0020
2024-03-02,0.0056
2024-03-03,0.0022
2024-03-04,0.0042
2024-03-05,-0.0013
2024-03-06,0.0051
2024-03-07,0.0030
2024-03-08,-0.0008
2024-03-09,0.0047
2024-03-10,0.0032
